date	birth	death
20060101	109422	209058
20060201	114069	181608
20060301	129178	195086
20060401	113392	172981
20060501	125100	193808
20060601	124238	178184
20060701	125927	167403
20060801	140228	176827
20060901	123950	164593
20061001	130757	182237
20061101	122258	173918
20061201	117702	170039
20070101	125368	190699
20070201	117186	162946
20070301	129618	184620
20070401	116527	167941
20070501	136795	188375
20070601	127509	165585
20070701	142686	169697
20070801	149912	172482
20070901	132454	154649
20071001	154324	182071
20071101	135487	171487
20071201	134521	169516
20080101	141262	200476
20080201	132405	167748
20080301	133235	178059
20080401	140213	178907
20080501	132539	177615
20080601	131845	166309
20080701	163520	176632
20080801	148284	158095
20080901	151064	169417
20081001	160158	175999
20081101	132407	154977
20081201	150549	176728
20090101	137503	185479
20090201	133343	157744
20090301	151027	183148
20090401	142828	169845
20090501	135218	163681
20090601	149348	169169
20090701	163309	167546
20090801	151739	150689
20090901	156717	159980
20091001	154049	166219
20091101	135173	161064
20091201	153910	179026
20100101	132371	176316
20100201	135015	160701
20100301	160950	178621
20100401	143644	163701
20100501	139043	162610
20100601	157813	169039
20100701	158207	182020
20100801	159610	191951
20100901	150999	159549
20101001	149774	159120
20101101	148731	159247
20101201	153466	168088
20110101	132954	170508
20110201	133593	155042
20110301	157425	177662
20110401	133954	155453
20110501	136564	165297
20110601	148089	157437
20110701	155221	155997
20110801	173166	162424
20110901	158052	153898
20111001	153789	156447
20111101	156028	158330
20111201	154993	156541
20120101	143790	165630
20120201	150544	158551
20120301	157323	162426
20120401	140563	154066
20120501	160160	168653
20120601	153359	153340
20120701	170949	157662
20120801	176707	153946
20120901	155869	144390
20121001	177661	167471
20121101	157272	153462
20121201	152066	159239
20130101	158930	180734
20130201	142973	148581
20130301	146062	161219
20130401	152913	161961
20130501	152496	160723
20130601	149800	142808
20130701	181907	158721
20130801	169963	146897
20130901	156199	144490
20131001	180373	168671
20131101	151662	145823
20131201	157904	157641
20140101	153330	168057
20140201	148182	149882
20140301	150399	156576
20140401	158815	161341
20140501	155862	161710
20140601	152606	146297
20140701	184369	160638
20140801	166129	146275
20140901	167354	155294
20141001	173502	163431
20141101	143579	143141
20141201	163963	166663
20150101	149270	174723
20150201	144592	156737
20150301	160975	175810
20150401	156993	164705
20150501	149182	154855
20150601	165764	161267
20150701	181998	155922
20150801	168654	145113
20150901	173143	154600
20151001	171003	156753
20151101	151074	147626
20151201	171488	163302
20160101	142052	169771
20160201	149012	156779
20160301	167141	166307
20160401	147711	150761
20160501	156589	160437
20160601	165872	156514
20160701	165340	146874
20160801	181743	159864
20160901	159819	149829
20161001	152816	150667
20161101	155082	156836
20161201	150079	163274
20170101	136544	179410
20170201	126828	146802
20170301	148329	161610
20170401	125534	142226
20170501	141947	161000
20170601	141846	149314
20170701	148329	143413
20170801	162223	152367
20170901	140038	141652
20171001	146472	155161
20171101	138108	145248
20171201	133686	146137
20180101	135528	165836
20180201	122425	142931
20180301	132937	169408
20180401	123297	157368
20180501	136867	162805
20180601	131697	148590
20180701	146142	152478
20180801	149233	147822
